Location_Name,l_hist,l_adv,l_nat,l_rel,l_outdoor,l_lat,l_lng,image_urls
Pigeon Island,0.1,0.7,0.9,0.3,1,8.7167,81.2,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Pigeon_Island_National_Park%2C_Trincomalee.jpg/960px-Pigeon_Island_National_Park%2C_Trincomalee.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Main_Rock_in_Pigeon_Island_National_Park.jpg/960px-Main_Rock_in_Pigeon_Island_National_Park.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pigeon_Island_National_Park.JPG/960px-Pigeon_Island_National_Park.JPG""]"
Royal Botanical Gardens,0.3,0.1,0.9,0.8,1,7.2697,80.5967,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/3A8A0303.jpg/960px-3A8A0303.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/At_the_Main_Gate.jpg/960px-At_the_Main_Gate.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Botanical_Garden_of_Peradeniya_03.jpg/960px-Botanical_Garden_of_Peradeniya_03.jpg""]"
Hanthana Mountain Range,0.1,0.8,0.8,0.1,1,7.2586,80.6286,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Hanthana_range.JPG/960px-Hanthana_range.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Sri_Lanka-6.jpg/960px-Sri_Lanka-6.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Uura_kanda.JPG/960px-Uura_kanda.JPG""]"
Weligama Surf Break,0.0,0.9,0.4,0.3,1,5.9667,80.4333,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Avalokiteshvara%2C_Weligama_0699.jpg/960px-Avalokiteshvara%2C_Weligama_0699.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/LK-weligama-fischerboote.jpg/960px-LK-weligama-fischerboote.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/LK-weligama-stelzenfischer-02.jpg/960px-LK-weligama-stelzenfischer-02.jpg""]"
Ravana Falls,0.2,0.3,0.8,0.5,1,6.8417,81.05,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Ella_railway_station.jpg/960px-Ella_railway_station.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/SL_Ella_asv2020-01_img22_View_from_Little_Adams_Peak.jpg/960px-SL_Ella_asv2020-01_img22_View_from_Little_Adams_Peak.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ravana_Ella_Rajamaha_Vihara_-_05.jpg/960px-Ravana_Ella_Rajamaha_Vihara_-_05.jpg""]"
Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Adisham_Bungalow.JPG/960px-Adisham_Bungalow.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Jetavanaramaya_Stupa.jpg/960px-Jetavanaramaya_Stupa.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Adisham_bungalow_in_Sri_Lanka.jpg/960px-Adisham_bungalow_in_Sri_Lanka.jpg""]"
Yala National Park,0.1,0.7,1.0,0.2,1,6.3667,81.4667,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Yala_Beach.jpg/960px-Yala_Beach.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Baby_tufted_gray_langur_%28Semnopithecus_priam%29.jpg/960px-Baby_tufted_gray_langur_%28Semnopithecus_priam%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Crocodile_in_Yala_National_Park_2.JPG/960px-Crocodile_in_Yala_National_Park_2.JPG""]"
Minneriya National Park,0.1,0.6,1.0,0.2,1,8.0305,80.8306,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Birds_at_the_Minneriya-Giritale_National_Park.jpg/960px-Birds_at_the_Minneriya-Giritale_National_Park.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/A_bee-eater_in_Minneriya_National_Park%2C_Sri_Lanka.jpg/960px-A_bee-eater_in_Minneriya_National_Park%2C_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/At_Minneriya_National_Park%2C_certain_elephants_are_known_to_be_more_aggressive_as_a_result_of_past_encounters_with_humans_-_Flickr_-_Al_Jazeera_English.jpg/960px-At_Minneriya_National_Park%2C_certain_elephants_are_known_to_be_more_aggressive_as_a_result_of_past_encounters_with_humans_-_Flickr_-_Al_Jazeera_English.jpg""]"
Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Nillaveli_Beach.JPG/960px-Nillaveli_Beach.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Nilaveli_Beach_Sri_Lanka.jpg/960px-Nilaveli_Beach_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Puffer_fish_at_Nilaveli%2C_Sri_lanka.jpg/960px-Puffer_fish_at_Nilaveli%2C_Sri_lanka.jpg""]"
Temple of the Tooth,1.0,0.1,0.2,0.6,0,7.2936,80.6413,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg/960px-SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Dalada_Maligawa_Sri_Lanka_G.jpg/960px-Dalada_Maligawa_Sri_Lanka_G.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Magul_Maduwa%2C_Kandy.jpg/960px-Magul_Maduwa%2C_Kandy.jpg""]"
